"date","temper","precip","annual","shortt"
2014-12-29,42,0,135,41
2014-12-30,34,0,136,38
2014-12-31,34,0,91,45
2015-01-01,35,0,54,110
2015-01-02,38,0.03,116,20
2015-01-03,38,0,75,76
2015-01-04,48,0.22,43,8
2015-01-05,56,0.07,162,18
2015-01-06,50,0.01,235,52
2015-01-07,47,0,264,51
2015-01-08,44,0,261,72
2015-01-09,44,0.01,241,57
2015-01-10,46,0.18,93,40
2015-01-11,48,0.06,71,30
2015-01-12,49,0,252,29
2015-01-13,44,0,260,36
2015-01-14,42,0,247,33
2015-01-15,41,0.43,189,17
2015-01-16,50,0,243,66
2015-01-17,46,0.76,71,60
2015-01-18,54,0.23,62,26
2015-01-19,49,0.03,177,96
2015-01-20,46,0,298,22
2015-01-21,40,0,265,35
2015-01-22,48,0.03,254,22
2015-01-23,54,0.08,193,21
2015-01-24,58,0.02,130,100
2015-01-25,57,0.01,123,139
2015-01-26,55,0,237,80
2015-01-27,52,0.02,225,24
2015-01-28,50,0,292,44
2015-01-29,48,0,291,29
2015-01-30,44,0,264,43
2015-01-31,42,0,126,98
2015-02-01,48,0.04,63,63
2015-02-02,50,0.3,168,14
2015-02-03,48,0.03,221,21
2015-02-04,47,0.3,186,26
2015-02-05,54,0.87,156,16
2015-02-06,56,0.75,158,28
2015-02-07,54,0.82,80,42
2015-02-08,54,0.15,84,95
2015-02-09,52,0.15,219,33
2015-02-10,52,0.02,264,23
2015-02-11,51,0,283,23
2015-02-12,62,0.02,281,44
2015-02-13,54,0,285,99
2015-02-14,54,0.05,131,256
2015-02-15,48,0,97,224
2015-02-16,53,0,143,106
2015-02-17,52,0,267,73
2015-02-18,48,0,255,51
2015-02-19,51,0.03,212,32
2015-02-20,52,0.02,205,55
2015-02-21,50,0,134,247
2015-02-22,45,0,94,154
2015-02-23,44,0,207,66
2015-02-24,45,0,221,59
2015-02-25,49,0.07,183,23
2015-02-26,51,0.22,243,34
2015-02-27,51,0.73,188,30
2015-02-28,47,0,105,260
2015-03-01,44,0,92,154
2015-03-02,49,0,244,38
2015-03-03,42,0,260,36
2015-03-04,44,0,267,60
2015-03-05,48,0,245,37
2015-03-06,49,0,270,81
2015-03-07,50,0,169,293
2015-03-08,50,0,131,286
2015-03-09,49,0,240,79
2015-03-10,50,0,300,74
2015-03-11,56,0.09,226,84
2015-03-12,60,0,309,107
2015-03-13,59,0.04,255,109
2015-03-14,58,0.54,123,123
2015-03-15,50,2.2,26,8
2015-03-16,52,0,216,88
2015-03-17,51,0.03,243,76
2015-03-18,54,0,283,76
2015-03-19,56,0.01,260,111
2015-03-20,56,0.12,209,93
2015-03-21,55,0.13,123,191
2015-03-22,49,0.07,94,93
2015-03-23,48,0.2,197,42
2015-03-24,52,0.27,230,131
2015-03-25,54,0.15,223,51
2015-03-26,62,0,303,230
2015-03-27,59,0.01,288,146
2015-03-28,58,0,132,174
2015-03-29,57,0,120,143
2015-03-30,60,0.02,288,118
2015-03-31,50,0.31,218,64
2015-04-01,50,0.05,275,100
2015-04-02,50,0,255,110
2015-04-03,49,0.05,258,62
2015-04-04,48,0,130,286
2015-04-05,50,0,110,194
2015-04-06,52,0,269,80
2015-04-07,54,0.01,320,80
2015-04-08,54,0,305,114
2015-04-09,54,0,303,153
2015-04-10,54,0.52,239,152
2015-04-11,50,0.02,97,99
2015-04-12,52,0,104,151
2015-04-13,48,0.46,186,35
2015-04-14,47,0.05,295,26
2015-04-15,49,0,311,46
2015-04-16,52,0,352,116
2015-04-17,56,0,324,300
2015-04-18,57,0,195,551
2015-04-19,58,0,132,622
2015-04-20,60,0,358,583
2015-04-21,56,0.16,322,261
2015-04-22,52,0,360,162
2015-04-23,50,0.1,269,51
2015-04-24,52,0.15,282,104
2015-04-25,52,0.01,133,322
2015-04-26,52,0,142,202
2015-04-27,66,0,330,188
2015-04-28,56,0.11,255,62
2015-04-29,56,0.01,288,51
2015-04-30,57,0,338,98
2015-05-01,59,0,314,136
2015-05-02,58,0,160,388
2015-05-03,57,0,159,313
2015-05-04,55,0,320,81
2015-05-05,54,0.18,267,39
2015-05-06,56,0,341,67
2015-05-07,58,0,403,153
2015-05-08,62,0,419,231
2015-05-09,66,0,218,575
2015-05-10,62,0,153,287
2015-05-11,56,0,340,105
2015-05-12,58,0.11,358,60
2015-05-13,54,0.14,272,46
2015-05-14,60,0,353,130
2015-05-15,60,0.01,358,190
2015-05-16,58,0,133,273
2015-05-17,62,0,141,296
2015-05-18,66,0,340,194
2015-05-19,65,0,345,164
2015-05-20,64,0,377,139
2015-05-21,68,0,391,196
2015-05-22,60,0,272,186
2015-05-23,59,0,153,384
2015-05-24,60,0,120,335
2015-05-25,58,0,126,282
2015-05-26,64,0,342,121
2015-05-27,67,0,391,227
2015-05-28,70,0,383,253
2015-05-29,71,0,380,245
2015-05-30,63,0,179,406
2015-05-31,65,0,174,364
2015-06-01,60,0.09,235,88
2015-06-02,60,0,358,102
2015-06-03,62,0,334,126
2015-06-04,65,0,386,178
2015-06-05,68,0,354,245
2015-06-06,72,0,171,347
2015-06-07,74,0,158,316
2015-06-08,73,0,368,199
2015-06-09,72,0,389,175
2015-06-10,68,0,382,139
2015-06-11,66,0,380,231
2015-06-12,64,0,352,207
2015-06-13,64,0,220,496
2015-06-14,69,0,137,370
2015-06-15,72,0,324,282
2015-06-16,64,0,377,219
2015-06-17,67,0,373,189
2015-06-18,70,0,361,244
2015-06-19,66,0.07,312,189
2015-06-20,66,0,150,406
2015-06-21,70,0,130,304
2015-06-22,67,0,322,213
2015-06-23,68,0,374,140
2015-06-24,72,0,384,184
2015-06-25,76,0,391,178
2015-06-26,76,0,357,204
2015-06-27,78,0,151,307
2015-06-28,76,0,159,245
2015-06-29,78,0.01,384,155
2015-06-30,75,0,414,134
2015-07-01,76,0,411,120
2015-07-02,80,0,401,205
2015-07-03,80,0,209,421
2015-07-04,77,0,143,616
2015-07-05,78,0,147,398
2015-07-06,74,0,393,253
2015-07-07,70,0,376,205
2015-07-08,74,0,444,207
2015-07-09,73,0,398,262
2015-07-10,68,0,378,270
2015-07-11,68,0,170,354
2015-07-12,72,0,153,397
2015-07-13,72,0,380,301
2015-07-14,72,0,423,219
2015-07-15,72,0,410,253
2015-07-16,72,0,433,234
2015-07-17,71,0,361,339
2015-07-18,78,0,216,470
2015-07-19,83,0,108,442
2015-07-20,74,0,364,136
2015-07-21,68,0.13,394,153
2015-07-22,68,0,399,249
2015-07-23,71,0,397,244
2015-07-24,67,0.01,335,180
2015-07-25,66,0.02,154,409
2015-07-26,66,0.1,132,231
2015-07-27,65,0.01,348,263
2015-07-28,72,0,408,264
2015-07-29,75,0,420,236
2015-07-30,78,0,386,211
2015-07-31,80,0,346,229
2015-08-01,77,0,155,519
2015-08-02,77,0,137,358
2015-08-03,76,0,378,258
2015-08-04,70,0,380,233
2015-08-05,65,0,400,221
2015-08-06,70,0,383,252
2015-08-07,72,0,378,262
2015-08-08,70,0,203,363
2015-08-09,72,0,156,444
2015-08-10,75,0,336,252
2015-08-11,76,0,403,194
2015-08-12,75,0.04,381,223
2015-08-13,74,0,383,249
2015-08-14,65,0.57,249,98
2015-08-15,66,0,176,374
2015-08-16,68,0,159,398
2015-08-17,70,0,339,241
2015-08-18,74,0,400,198
2015-08-19,78,0,403,235
2015-08-20,68,0,345,170
2015-08-21,66,0,369,250
2015-08-22,68,0,173,336
2015-08-23,70,0,141,289
2015-08-24,66,0,367,262
2015-08-25,68,0,358,160
2015-08-26,71,0,385,175
2015-08-27,74,0,361,222
2015-08-28,70,0.01,321,175
2015-08-29,66,0.18,107,167
2015-08-30,65,0.24,166,164
2015-08-31,66,0.06,309,103
2015-09-01,64,0.17,261,57
2015-09-02,63,0.02,347,100
2015-09-03,60,0,391,122
2015-09-04,60,0,317,122
2015-09-05,58,0.06,125,177
2015-09-06,58,0.19,105,239
2015-09-07,66,0,130,328
2015-09-08,67,0,322,87
2015-09-09,69,0,387,188
2015-09-10,68,0.01,354,173
2015-09-11,72,0,353,281
2015-09-12,71,0,144,370
2015-09-13,66,0.03,100,161
2015-09-14,58,0,295,126
2015-09-15,59,0,340,96
2015-09-16,60,0.04,360,116
2015-09-17,62,0.58,273,38
2015-09-18,64,0.01,285,209
2015-09-19,66,0,127,257
2015-09-20,66,0.09,113,203
2015-09-21,60,0,324,77
2015-09-22,57,0,380,83
2015-09-23,60,0,379,91
2015-09-24,64,0,376,171
2015-09-25,61,0.03,287,98
2015-09-26,60,0,143,345
2015-09-27,55,0,110,209
2015-09-28,61,0,333,171
2015-09-29,62,0,394,139
2015-09-30,60,0,339,106
2015-10-01,60,0.01,383,66
2015-10-02,58,0,328,106
2015-10-03,62,0,126,246
2015-10-04,62,0,147,315
2015-10-05,62,0,330,159
2015-10-06,60,0.01,333,64
2015-10-07,60,0.38,234,19
2015-10-08,64,0,374,57
2015-10-09,62,0.01,314,56
2015-10-10,66,0.77,91,36
2015-10-11,60,0,130,189
2015-10-12,61,0.34,322,71
